SITIO,PC1
UME,-2.96638227568445
UME,-2.96638227568445
ATE,-0.578163251902412
ATE,-0.578163251902412
REM,3.33003997933115
REM,3.33003997933115
REM,3.33003997933115
REM,3.33003997933115
REM,3.73314042267136
NOB,-5.14567844595939
IRA,-0.317996692276687
IRA,-0.317996692276687
IRA,-0.317996692276687
CBU,8.00496552942505
CBU,10.4622491633603
SJT,-3.37839638109626
SJT,-3.37839638109626
SMM,1.02839655741479
SMM,1.02839655741479
SMM,-1.0687930507108
CHI,0.524263716400986
CHI,0.524263716400986
CHI,0.375300827526313
BSJ,-2.20369752065253
BSJ,-2.20369752065253
BSJ,-1.01372042983483
SJR,-4.4437083858447
SJR,-4.4437083858447
SJR,-4.4437083858447
COR,-7.61010754430556
COR,-7.61010754430556
CAG,2.8006952821618
CAG,2.8006952821618
CAG,2.8006952821618
CAG,2.8006952821618
CAG,2.8006952821618
CAR,1.98218828940344
